Y house price of unit area,No,X1 transaction date,X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,X5 latitude,X6 longitude
306000000,119,2013-06-01 00:00:00,25.3,1583.722,3,24.96622,121.51709
307000000,132,2013-06-01 00:00:00,4.0,2147.376,3,24.96299,121.51284
356000000,337,2012-09-01 00:00:00,5.1,1867.233,2,24.98407,121.51748
137000000,56,2012-09-01 00:00:00,31.7,1160.632,0,24.94968,121.53009
629000000,127,2012-12-01 00:00:00,38.6,804.6897,4,24.97838,121.53477
305000000,377,2013-05-01 00:00:00,14.7,1717.193,2,24.96447,121.51649
419000000,57,2013-05-01 00:00:00,33.6,371.2495,8,24.97254,121.54059
544000000,292,2012-09-01 00:00:00,3.4,56.47425,7,24.95744,121.53711
295000000,366,2012-11-01 00:00:00,17.3,2261.432,4,24.96182,121.51222
437000000,85,2012-12-01 00:00:00,15.1,383.2805,7,24.96735,121.54464
122000000,117,2012-12-01 00:00:00,30.9,6396.283,1,24.94375,121.47883
221000000,10,2013-05-01 00:00:00,17.9,1783.18,3,24.96731,121.51486
495000000,375,2013-03-01 00:00:00,5.4,390.5684,5,24.97937,121.54245
474000000,138,2013-06-01 00:00:00,13.6,319.0708,6,24.96495,121.54277
186000000,321,2012-09-01 00:00:00,13.5,4197.349,0,24.93885,121.50383
285000000,403,2012-09-01 00:00:00,12.7,187.4823,1,24.97388,121.52981
147000000,232,2012-09-01 00:00:00,16.2,4074.736,0,24.94235,121.50357
454000000,91,2012-09-01 00:00:00,0.0,274.0144,1,24.9748,121.53059
410000000,95,2012-11-01 00:00:00,40.9,167.5989,5,24.9663,121.54026
351000000,174,2012-12-01 00:00:00,41.3,401.8807,4,24.98326,121.5446
221000000,31,2013-06-01 00:00:00,25.9,4519.69,0,24.94826,121.49587
289000000,142,2013-03-01 00:00:00,5.1,1559.827,3,24.97213,121.51627
305000000,105,2012-08-01 00:00:00,32.7,392.4459,6,24.96398,121.5425
265000000,80,2012-12-01 00:00:00,18.0,1414.837,1,24.95182,121.54887
493000000,34,2013-03-01 00:00:00,16.5,323.655,6,24.97841,121.54281
370000000,291,2012-12-01 00:00:00,37.7,490.3446,0,24.97217,121.53471
563000000,287,2012-11-01 00:00:00,5.9,90.45606,9,24.97433,121.5431
154000000,410,2012-12-01 00:00:00,13.7,4082.015,0,24.94155,121.50381
485000000,223,2013-06-01 00:00:00,30.6,431.1114,10,24.98123,121.53743
633000000,362,2012-12-01 00:00:00,41.4,281.205,8,24.97345,121.54093
505000000,16,2013-06-01 00:00:00,35.7,579.2083,2,24.9824,121.54619
422000000,312,2013-02-01 00:00:00,21.3,537.7971,4,24.97425,121.53814
379000000,1,2012-11-01 00:00:00,32.0,84.87882,10,24.98298,121.54024
375000000,318,2012-09-01 00:00:00,15.6,752.7669,2,24.97795,121.53451
405000000,273,2012-09-01 00:00:00,13.0,492.2313,5,24.96515,121.53737
574000000,125,2012-11-01 00:00:00,9.9,279.1726,7,24.97528,121.54541
265000000,272,2012-11-01 00:00:00,17.7,451.6419,8,24.96945,121.5449
218000000,185,2012-09-01 00:00:00,14.1,2615.465,0,24.95495,121.56174
497000000,276,2012-08-01 00:00:00,1.5,23.38284,7,24.96772,121.54102
471000000,361,2012-08-01 00:00:00,32.9,87.30222,10,24.983,121.54022
490000000,226,2013-03-01 00:00:00,1.1,193.5845,6,24.96571,121.54089
607000000,356,2013-03-01 00:00:00,3.8,383.8624,5,24.98085,121.54391
331000000,365,2013-05-01 00:00:00,35.3,614.1394,7,24.97913,121.53666
410000000,275,2013-02-01 00:00:00,27.5,394.0173,7,24.97305,121.53994
365000000,176,2012-12-01 00:00:00,30.2,472.1745,3,24.97005,121.53758
200000000,74,2013-02-01 00:00:00,13.8,4082.015,0,24.94155,121.50381
347000000,43,2013-05-01 00:00:00,36.1,519.4617,5,24.96305,121.53758
306000000,166,2012-11-01 00:00:00,13.7,1236.564,1,24.97694,121.55391
256000000,78,2012-09-01 00:00:00,20.5,2185.128,3,24.96322,121.51237
462000000,40,2013-02-01 00:00:00,16.2,289.3248,5,24.98203,121.54348
277000000,402,2012-12-01 00:00:00,7.6,2175.03,3,24.96305,121.51254
270000000,26,2012-12-01 00:00:00,29.3,1487.868,2,24.97542,121.51726
156000000,156,2013-02-01 00:00:00,13.8,4082.015,0,24.94155,121.50381
155000000,181,2012-08-01 00:00:00,26.9,4449.27,0,24.94898,121.49621
112000000,348,2013-06-01 00:00:00,17.4,6488.021,1,24.95719,121.47353
237000000,267,2013-03-01 00:00:00,17.8,1783.18,3,24.96731,121.51486
246000000,23,2012-11-01 00:00:00,14.7,1360.139,1,24.95204,121.54842
420000000,47,2013-05-01 00:00:00,21.7,463.9623,9,24.9703,121.54458
298000000,79,2012-11-01 00:00:00,38.2,552.4371,2,24.97598,121.53381
289000000,153,2013-03-01 00:00:00,12.0,1360.139,1,24.95204,121.54842
481000000,83,2012-12-01 00:00:00,13.2,150.9347,7,24.96725,121.54252
368000000,77,2013-06-01 00:00:00,35.9,616.4004,3,24.97723,121.53767
535000000,58,2012-11-01 00:00:00,3.5,56.47425,7,24.95744,121.53711
516000000,111,2012-12-01 00:00:00,8.1,104.8101,5,24.96674,121.54067
388000000,25,2012-12-01 00:00:00,39.6,480.6977,4,24.97353,121.53885
374000000,18,2012-09-01 00:00:00,17.7,350.8515,1,24.97544,121.53119
406000000,239,2012-12-01 00:00:00,12.8,732.8528,0,24.97668,121.52518
372000000,406,2012-08-01 00:00:00,23.0,130.9945,6,24.95663,121.53765
250000000,32,2012-09-01 00:00:00,29.6,769.4034,7,24.98281,121.53408
235000000,284,2013-05-01 00:00:00,33.5,1978.671,2,24.98674,121.51844
356000000,158,2013-03-01 00:00:00,16.1,815.9314,4,24.97886,121.53464
461000000,204,2012-08-01 00:00:00,15.6,289.3248,5,24.98203,121.54348
262000000,209,2012-09-01 00:00:00,11.5,1360.139,1,24.95204,121.54842
427000000,193,2013-02-01 00:00:00,43.8,57.58945,7,24.9675,121.54069
239000000,235,2013-03-01 00:00:00,8.0,2216.612,4,24.96007,121.51361
321000000,6,2012-08-01 00:00:00,7.1,2175.03,3,24.96305,121.51254
383000000,46,2012-12-01 00:00:00,36.6,488.8193,8,24.97015,121.54494
408000000,246,2013-05-01 00:00:00,7.5,639.6198,5,24.97258,121.54814
308000000,347,2013-05-01 00:00:00,13.2,1712.632,2,24.96412,121.5167
346000000,196,2013-03-01 00:00:00,15.2,461.1016,5,24.95425,121.5399
293000000,383,2012-12-01 00:00:00,16.3,3529.564,0,24.93207,121.51597
355000000,401,2013-03-01 00:00:00,26.8,482.7581,5,24.97433,121.53863
341000000,297,2012-09-01 00:00:00,12.5,1144.436,4,24.99176,121.53456
548000000,4,2013-06-01 00:00:00,13.3,561.9845,5,24.98746,121.54391
423000000,19,2013-05-01 00:00:00,16.9,368.1363,8,24.9675,121.54451
300000000,251,2013-02-01 00:00:00,39.2,424.7132,7,24.97429,121.53917
213000000,61,2013-05-01 00:00:00,11.0,1931.207,2,24.96365,121.51471
386000000,391,2013-06-01 00:00:00,32.8,377.8302,9,24.97151,121.5435
281000000,409,2013-05-01 00:00:00,18.5,2175.744,3,24.9633,121.51243
550000000,64,2013-06-01 00:00:00,2.6,533.4762,4,24.97445,121.54765
244000000,262,2013-02-01 00:00:00,16.2,2288.011,3,24.95885,121.51359
285000000,298,2012-09-01 00:00:00,34.9,567.0349,4,24.97003,121.5458
76000000,114,2013-03-01 00:00:00,14.8,393.2606,6,24.96172,121.53812
223000000,249,2012-12-01 00:00:00,19.0,1009.235,0,24.96357,121.54951
621000000,327,2013-06-01 00:00:00,4.1,56.47425,7,24.95744,121.53711
500000000,411,2012-08-01 00:00:00,5.6,90.45606,9,24.97433,121.5431
313000000,392,2013-06-01 00:00:00,6.2,1939.749,1,24.95155,121.55387
257000000,353,2012-09-01 00:00:00,18.4,2674.961,3,24.96143,121.50827
375000000,133,2013-02-01 00:00:00,26.6,482.7581,5,24.97433,121.53863
390000000,238,2013-02-01 00:00:00,13.0,732.8528,0,24.97668,121.52518
341000000,109,2013-05-01 00:00:00,31.4,592.5006,2,24.9726,121.53561
329000000,102,2012-09-01 00:00:00,12.7,170.1289,1,24.97371,121.52984
493000000,194,2013-05-01 00:00:00,9.7,421.479,5,24.98246,121.54477
571000000,30,2012-12-01 00:00:00,7.1,451.2438,5,24.97563,121.54694
247000000,308,2012-09-01 00:00:00,10.3,3079.89,0,24.9546,121.56627
553000000,387,2012-09-01 00:00:00,0.0,185.4296,0,24.9711,121.5317
550000000,306,2012-12-01 00:00:00,16.2,289.3248,5,24.98203,121.54348
533000000,115,2012-08-01 00:00:00,30.6,143.8383,8,24.98155,121.54142
231000000,248,2013-03-01 00:00:00,21.7,1055.067,0,24.96211,121.54928
295000000,76,2013-06-01 00:00:00,12.3,1360.139,1,24.95204,121.54842
401000000,269,2013-05-01 00:00:00,17.2,390.5684,5,24.97937,121.54245
451000000,149,2013-06-01 00:00:00,16.4,3780.59,0,24.93293,121.51203
701000000,17,2013-03-01 00:00:00,0.0,292.9978,6,24.97744,121.54458
507000000,67,2012-12-01 00:00:00,1.0,193.5845,6,24.96571,121.54089
370000000,342,2012-12-01 00:00:00,13.0,750.0704,2,24.97371,121.54951
467000000,8,2013-05-01 00:00:00,20.3,287.6025,6,24.98042,121.54228
293000000,195,2013-06-01 00:00:00,15.2,3771.895,0,24.93363,121.51158
477000000,20,2012-08-01 00:00:00,1.5,23.38284,7,24.96772,121.54102
192000000,177,2012-09-01 00:00:00,13.9,4573.779,0,24.94867,121.49507
209000000,368,2012-09-01 00:00:00,15.0,1828.319,2,24.96464,121.51531
294000000,305,2013-05-01 00:00:00,20.0,1626.083,3,24.96622,121.51668
391000000,199,2012-12-01 00:00:00,34.0,157.6052,7,24.96628,121.54196
455000000,146,2012-11-01 00:00:00,2.1,451.2438,5,24.97563,121.54694
381000000,266,2012-09-01 00:00:00,15.7,815.9314,4,24.97886,121.53464
284000000,110,2013-06-01 00:00:00,4.0,2147.376,3,24.96299,121.51284
315000000,203,2012-11-01 00:00:00,38.3,642.6985,3,24.97559,121.53713
366000000,197,2012-12-01 00:00:00,22.8,707.9067,2,24.981,121.54713
319000000,397,2012-08-01 00:00:00,37.1,918.6357,1,24.97198,121.55063
297000000,240,2013-06-01 00:00:00,18.1,837.7233,0,24.96334,121.54767
177000000,84,2012-11-01 00:00:00,25.3,2707.392,3,24.96056,121.50831
374000000,169,2012-12-01 00:00:00,27.6,515.1122,5,24.96299,121.5432
425000000,324,2013-05-01 00:00:00,28.6,197.1338,6,24.97631,121.54436
544000000,75,2012-11-01 00:00:00,6.8,379.5575,10,24.98343,121.53762
403000000,384,2012-08-01 00:00:00,29.1,506.1144,4,24.97845,121.53889
596000000,120,2013-06-01 00:00:00,16.6,289.3248,5,24.98203,121.54348
409000000,210,2012-09-01 00:00:00,34.8,175.6294,8,24.97347,121.54271
402000000,220,2012-09-01 00:00:00,29.3,529.7771,8,24.98102,121.53655
409000000,154,2013-03-01 00:00:00,6.5,376.1709,6,24.95418,121.53713
420000000,178,2012-12-01 00:00:00,33.0,181.0766,9,24.97697,121.54262
256000000,388,2013-03-01 00:00:00,16.2,2103.555,3,24.96042,121.51462
517000000,372,2013-06-01 00:00:00,4.1,312.8963,5,24.95591,121.53956
229000000,37,2012-11-01 00:00:00,14.7,1935.009,2,24.96386,121.51458
425000000,140,2012-08-01 00:00:00,12.9,492.2313,5,24.96515,121.53737
363000000,339,2012-11-01 00:00:00,31.5,258.186,9,24.96867,121.54331
581000000,173,2013-06-01 00:00:00,6.6,90.45606,9,24.97433,121.5431
435000000,212,2012-12-01 00:00:00,0.0,274.0144,1,24.9748,121.53059
396000000,333,2013-02-01 00:00:00,39.8,617.7134,2,24.97577,121.53475
424000000,60,2012-12-01 00:00:00,13.3,336.0532,5,24.95776,121.53438
394000000,112,2013-06-01 00:00:00,33.3,196.6172,7,24.97701,121.54224
344000000,285,2012-11-01 00:00:00,15.0,383.2805,7,24.96735,121.54464
381000000,326,2012-12-01 00:00:00,36.6,488.8193,8,24.97015,121.54494
403000000,7,2012-08-01 00:00:00,34.5,623.4731,7,24.97933,121.53642
461000000,300,2013-02-01 00:00:00,33.2,121.7262,10,24.98178,121.54059
553000000,286,2013-02-01 00:00:00,30.1,718.2937,3,24.97509,121.53644
394000000,159,2012-12-01 00:00:00,11.6,390.5684,5,24.97937,121.54245
485000000,151,2013-03-01 00:00:00,35.8,170.7311,7,24.96719,121.54269
414000000,11,2012-12-01 00:00:00,34.8,405.2134,1,24.97349,121.53372
156000000,332,2013-03-01 00:00:00,25.6,4519.69,0,24.94826,121.49587
457000000,104,2012-09-01 00:00:00,0.0,208.3905,6,24.95618,121.53844
368000000,82,2012-12-01 00:00:00,30.8,377.7956,6,24.96427,121.53964
440000000,279,2012-09-01 00:00:00,0.0,208.3905,6,24.95618,121.53844
633000000,259,2013-05-01 00:00:00,0.0,292.9978,6,24.97744,121.54458
434000000,168,2013-05-01 00:00:00,28.2,330.0854,8,24.97408,121.54011
273000000,389,2013-06-01 00:00:00,10.4,2251.938,4,24.95957,121.51353
423000000,224,2013-03-01 00:00:00,9.1,1402.016,0,24.98569,121.5276
190000000,230,2013-06-01 00:00:00,31.0,1156.412,0,24.9489,121.53095
559000000,182,2013-02-01 00:00:00,11.6,201.8939,8,24.98489,121.54121
402000000,228,2012-11-01 00:00:00,32.4,265.0609,8,24.98059,121.53986
253000000,90,2013-06-01 00:00:00,23.0,3947.945,0,24.94783,121.50243
677000000,390,2013-03-01 00:00:00,40.9,122.3619,8,24.96756,121.5423
555000000,164,2013-06-01 00:00:00,8.5,104.8101,5,24.96674,121.54067
432000000,148,2012-09-01 00:00:00,3.2,489.8821,8,24.97017,121.54494
406000000,247,2013-05-01 00:00:00,16.4,389.8219,6,24.96412,121.54273
218000000,93,2012-11-01 00:00:00,20.6,2469.645,4,24.96108,121.51046
420000000,70,2012-09-01 00:00:00,12.5,561.9845,5,24.98746,121.54391
455000000,124,2013-05-01 00:00:00,0.0,185.4296,0,24.9711,121.5317
595000000,97,2013-05-01 00:00:00,6.4,90.45606,9,24.97433,121.5431
401000000,144,2013-06-01 00:00:00,13.6,492.2313,5,24.96515,121.53737
400000000,363,2013-05-01 00:00:00,17.1,967.4,4,24.98872,121.53408
346000000,98,2012-12-01 00:00:00,28.4,617.4424,3,24.97746,121.53299
150000000,250,2012-09-01 00:00:00,18.0,6306.153,1,24.95743,121.47516
362000000,69,2013-05-01 00:00:00,30.4,464.223,6,24.97964,121.53805
479000000,24,2012-12-01 00:00:00,10.1,279.1726,7,24.97528,121.54541
253000000,38,2013-02-01 00:00:00,12.0,1360.139,1,24.95204,121.54842
284000000,145,2012-12-01 00:00:00,11.9,1360.139,1,24.95204,121.54842
325000000,123,2013-03-01 00:00:00,31.5,414.9476,4,24.98199,121.54464
466000000,229,2013-05-01 00:00:00,11.9,3171.329,0,25.00115,121.51776
236000000,183,2013-06-01 00:00:00,13.5,2147.376,3,24.96299,121.51284
568000000,68,2013-06-01 00:00:00,8.5,104.8101,5,24.96674,121.54067
429000000,341,2013-03-01 00:00:00,33.6,270.8895,0,24.97281,121.53265
217000000,245,2012-12-01 00:00:00,4.8,1559.827,3,24.97213,121.51627
247000000,395,2013-06-01 00:00:00,32.6,4136.271,1,24.95544,121.4963
129000000,385,2012-09-01 00:00:00,16.1,4066.587,0,24.94297,121.50342
192000000,330,2012-12-01 00:00:00,13.6,4197.349,0,24.93885,121.50383
522000000,211,2013-06-01 00:00:00,5.2,390.5684,5,24.97937,121.54245
486000000,126,2013-02-01 00:00:00,1.1,193.5845,6,24.96571,121.54089
522000000,147,2012-09-01 00:00:00,0.0,185.4296,0,24.9711,121.5317
445000000,290,2013-03-01 00:00:00,13.9,289.3248,5,24.98203,121.54348
270000000,87,2012-09-01 00:00:00,1.8,1455.798,1,24.9512,121.549
525000000,413,2012-12-01 00:00:00,8.1,104.8101,5,24.96674,121.54067
